1996.79554 1996.80373 G 1996-10-17 04:00:00 1996-10-20 04:00:00
1996.80852 1996.82253 X 1996-10-21 22:00:00 1996-10-27 01:07:12
1996.80897 1996.81170 G 1996-10-22 02:00:00 1996-10-23 02:00:00
1996.82252 1996.84405 X 1996-10-27 01:00:00 1996-11-03 22:07:12
1996.82320 1996.82593 G 1996-10-27 07:00:00 1996-10-28 07:00:00
1996.84403 1996.85701 X 1996-11-03 22:00:00 1996-11-08 16:00:00
1996.86885 1996.87705 G 1996-11-13 00:00:00 1996-11-16 00:00:00
1996.86999 1996.89890 X 1996-11-13 10:00:00 1996-11-23 23:55:12
1996.88058 1996.88331 G 1996-11-17 07:00:00 1996-11-18 07:00:00
1996.89902 1996.91850 X 1996-11-24 01:00:00 1996-12-01 04:07:12
1996.89936 1996.90756 G 1996-11-24 04:00:00 1996-11-27 04:00:00
1996.92145 1996.93590 X 1996-12-02 06:00:00 1996-12-07 12:57:36
1996.92179 1996.92725 G 1996-12-02 09:00:00 1996-12-04 09:00:00
1996.93579 1996.94399 G 1996-12-07 12:00:00 1996-12-10 12:00:00
1996.94194 1996.95582 X 1996-12-09 18:00:00 1996-12-14 19:55:12
1996.95526 1996.95799 G 1996-12-14 15:00:00 1996-12-15 15:00:00
1996.95594 1996.97051 X 1996-12-14 21:00:00 1996-12-20 04:55:12
1996.97256 1996.98737 X 1996-12-20 23:00:00 1996-12-26 09:04:48
1996.99556 1997.01303 X 1996-12-29 09:00:00 1997-01-04 18:07:12
1997.01301 1997.02625 X 1997-01-04 18:00:00 1997-01-09 13:55:12
1997.03002 1997.04704 X 1997-01-10 23:00:00 1997-01-17 04:02:24
1997.03014 1997.03288 G 1997-01-11 00:00:00 1997-01-12 00:00:00
1997.05445 1997.06451 X 1997-01-19 21:00:00 1997-01-23 13:04:48
1997.07078 1997.07900 G 1997-01-25 20:00:00 1997-01-28 20:00:00
1997.07203 1997.09691 X 1997-01-26 07:00:00 1997-02-04 08:55:12
1997.08858 1997.09132 G 1997-02-01 08:00:00 1997-02-02 08:00:00
1997.09909 1997.10629 X 1997-02-05 04:00:00 1997-02-07 19:07:12
1997.10057 1997.10879 G 1997-02-05 17:00:00 1997-02-08 17:00:00
1997.10639 1997.11861 X 1997-02-07 20:00:00 1997-02-12 07:02:24
1997.14600 1997.15595 X 1997-02-22 07:00:00 1997-02-25 22:07:12
1997.14680 1997.14954 G 1997-02-22 14:00:00 1997-02-23 14:00:00
1997.15719 1997.16267 G 1997-02-26 09:00:00 1997-02-28 09:00:00
1997.15753 1997.17682 X 1997-02-26 12:00:00 1997-03-05 12:57:36
1997.19235 1997.19509 G 1997-03-11 05:00:00 1997-03-12 05:00:00
1997.19406 1997.20217 X 1997-03-11 20:00:00 1997-03-14 19:02:24
1997.22089 1997.22741 X 1997-03-21 15:00:00 1997-03-24 00:07:12
1997.22683 1997.23505 G 1997-03-23 19:00:00 1997-03-26 19:00:00
1997.22751 1997.23926 X 1997-03-24 01:00:00 1997-03-28 07:57:36
1997.23927 1997.24853 X 1997-03-28 08:00:00 1997-03-31 17:07:12
1997.23927 1997.24475 G 1997-03-28 08:00:00 1997-03-30 08:00:00
1997.25171 1997.25730 X 1997-04-01 21:00:00 1997-04-03 21:57:36
1997.27340 1997.29074 X 1997-04-09 19:00:00 1997-04-16 02:55:12
1997.27523 1997.27797 G 1997-04-10 11:00:00 1997-04-11 11:00:00
1997.29087 1997.30958 X 1997-04-16 04:00:00 1997-04-22 23:55:12
1997.29155 1997.29429 G 1997-04-16 10:00:00 1997-04-17 10:00:00
1997.30959 1997.32134 X 1997-04-23 00:00:00 1997-04-27 06:57:36
1997.33288 1997.33562 G 1997-05-01 12:00:00 1997-05-02 12:00:00
1997.33288 1997.34989 X 1997-05-01 12:00:00 1997-05-07 17:02:24
1997.36815 1997.38653 X 1997-05-14 09:00:00 1997-05-21 02:02:24
1997.36884 1997.37432 G 1997-05-14 15:00:00 1997-05-16 15:00:00
1997.40890 1997.43049 X 1997-05-29 06:00:00 1997-06-06 03:07:12
1997.42991 1997.44646 X 1997-06-05 22:00:00 1997-06-11 22:57:36
1997.45400 1997.47134 X 1997-06-14 17:00:00 1997-06-21 00:55:12
1997.47397 1997.48619 X 1997-06-22 00:00:00 1997-06-26 11:02:24
1997.48653 1997.49760 X 1997-06-26 14:00:00 1997-06-30 14:57:36
1997.48676 1997.49224 G 1997-06-26 16:00:00 1997-06-28 16:00:00
1997.50354 1997.51348 X 1997-07-02 19:00:00 1997-07-06 10:07:12
1997.51358 1997.52216 X 1997-07-06 11:00:00 1997-07-09 14:07:12
1997.54247 1997.56063 X 1997-07-17 00:00:00 1997-07-23 15:07:12
1997.56073 1997.56985 X 1997-07-23 16:00:00 1997-07-26 23:55:12
1997.58048 1997.59692 X 1997-07-30 21:00:00 1997-08-05 21:00:00
1997.60582 1997.61541 X 1997-08-09 03:00:00 1997-08-12 15:00:00
1997.61553 1997.62763 X 1997-08-12 16:00:00 1997-08-17 02:04:48
1997.61575 1997.62123 G 1997-08-12 18:00:00 1997-08-14 18:00:00
1997.63767 1997.64693 X 1997-08-20 18:00:00 1997-08-24 03:07:12
1997.65468 1997.67364 X 1997-08-26 23:00:00 1997-09-02 21:04:48
1997.67374 1997.68802 X 1997-09-02 22:00:00 1997-09-08 03:02:24
1997.67374 1997.67922 G 1997-09-02 22:00:00 1997-09-04 22:00:00
1997.68801 1997.70218 X 1997-09-08 03:00:00 1997-09-13 07:04:48
1997.70217 1997.71324 X 1997-09-13 07:00:00 1997-09-17 07:57:36
1997.71895 1997.73698 X 1997-09-19 10:00:00 1997-09-25 23:55:12
1997.73710 1997.75033 X 1997-09-26 01:00:00 1997-09-30 20:55:12
1997.73733 1997.74281 G 1997-09-26 03:00:00 1997-09-28 03:00:00
1997.75034 1997.76645 X 1997-09-30 21:00:00 1997-10-06 18:07:12
1997.76644 1997.78608 X 1997-10-06 18:00:00 1997-10-13 22:04:48
1997.80925 1997.83505 X 1997-10-22 09:00:00 1997-10-31 19:04:48
1997.81176 1997.81724 G 1997-10-23 07:00:00 1997-10-25 07:00:00
1997.83516 1997.84111 X 1997-10-31 20:00:00 1997-11-03 00:04:48
1997.85171 1997.86552 X 1997-11-06 21:00:00 1997-11-11 21:57:36
1997.87466 1997.89268 X 1997-11-15 06:00:00 1997-11-21 19:55:12
1997.89281 1997.91473 X 1997-11-21 21:00:00 1997-11-29 21:00:00
1997.91587 1997.92192 X 1997-11-30 07:00:00 1997-12-02 12:02:24
1997.94155 1997.95298 X 1997-12-09 16:00:00 1997-12-13 20:04:48
1997.99509 1998.00468 X 1997-12-29 05:00:00 1998-01-01 17:00:00
1998.01781 1998.02351 X 1998-01-06 12:00:00 1998-01-08 13:55:12
1998.02363 1998.03059 X 1998-01-08 15:00:00 1998-01-11 03:57:36
1998.03059 1998.04465 X 1998-01-11 04:00:00 1998-01-16 07:07:12
1998.04463 1998.05718 X 1998-01-16 07:00:00 1998-01-20 20:55:12
1998.06598 1998.07809 X 1998-01-24 02:00:00 1998-01-28 12:04:48
1998.08630 1998.09463 X 1998-01-31 12:00:00 1998-02-03 12:57:36
1998.09463 1998.10080 X 1998-02-03 13:00:00 1998-02-05 19:00:00
1998.10753 1998.12477 X 1998-02-08 06:00:00 1998-02-14 12:57:36
1998.11027 1998.11575 G 1998-02-09 06:00:00 1998-02-11 06:00:00
1998.13676 1998.14303 X 1998-02-18 22:00:00 1998-02-21 04:57:36
1998.16176 1998.17842 X 1998-02-28 01:00:00 1998-03-06 02:55:12
1998.18870 1998.20878 X 1998-03-09 21:00:00 1998-03-17 04:55:12
1998.18927 1998.19201 G 1998-03-10 02:00:00 1998-03-11 02:00:00
1998.21450 1998.23025 X 1998-03-19 07:00:00 1998-03-25 01:00:00
1998.21724 1998.21998 G 1998-03-20 07:00:00 1998-03-21 07:00:00
1998.27158 1998.28996 X 1998-04-09 03:00:00 1998-04-15 20:02:24
1998.29007 1998.30834 X 1998-04-15 21:00:00 1998-04-22 13:04:48
1998.29304 1998.29852 G 1998-04-16 23:00:00 1998-04-18 23:00:00
1998.31130 1998.32968 X 1998-04-23 15:00:00 1998-04-30 08:02:24
1998.33116 1998.33881 X 1998-04-30 21:00:00 1998-05-03 15:57:36
1998.33893 1998.34852 X 1998-05-03 17:00:00 1998-05-07 05:00:00
1998.34852 1998.37065 X 1998-05-07 05:00:00 1998-05-15 06:55:12
1998.37066 1998.38357 X 1998-05-15 07:00:00 1998-05-20 00:02:24
1998.37146 1998.37420 G 1998-05-15 14:00:00 1998-05-16 14:00:00
1998.38356 1998.39373 X 1998-05-20 00:00:00 1998-05-23 17:02:24
1998.40685 1998.42877 X 1998-05-28 12:00:00 1998-06-05 12:00:00
1998.40731 1998.41279 G 1998-05-28 16:00:00 1998-05-30 16:00:00
1998.42900 1998.43447 G 1998-06-05 14:00:00 1998-06-07 14:00:00
1998.43037 1998.44864 X 1998-06-06 02:00:00 1998-06-12 18:04:48
1998.45331 1998.46257 X 1998-06-14 11:00:00 1998-06-17 20:07:12
1998.46518 1998.47968 X 1998-06-18 19:00:00 1998-06-24 01:57:36
1998.46530 1998.46804 G 1998-06-18 20:00:00 1998-06-19 20:00:00
1998.47979 1998.49371 X 1998-06-24 03:00:00 1998-06-29 04:55:12
1998.50011 1998.52398 X 1998-07-01 13:00:00 1998-07-10 06:02:24
1998.52409 1998.53847 X 1998-07-10 07:00:00 1998-07-15 13:00:00
1998.53847 1998.55263 X 1998-07-15 13:00:00 1998-07-20 17:04:48
1998.53961 1998.54235 G 1998-07-15 23:00:00 1998-07-16 23:00:00
1998.55263 1998.57512 X 1998-07-20 17:00:00 1998-07-28 22:02:24
1998.55799 1998.56073 G 1998-07-22 16:00:00 1998-07-23 16:00:00
1998.57511 1998.58996 X 1998-07-28 22:00:00 1998-08-03 08:04:48
1998.59920 1998.60720 X 1998-08-06 17:00:00 1998-08-09 15:04:48
1998.60731 1998.61336 X 1998-08-09 16:00:00 1998-08-11 21:02:24
1998.64121 1998.65047 X 1998-08-22 01:00:00 1998-08-25 10:07:12
1998.64121 1998.64395 G 1998-08-22 01:00:00 1998-08-23 01:00:00
1998.65057 1998.67408 X 1998-08-25 11:00:00 1998-09-03 00:55:12
1998.69760 1998.70925 X 1998-09-11 15:00:00 1998-09-15 21:00:00
1998.71438 1998.72249 X 1998-09-17 18:00:00 1998-09-20 17:02:24
1998.72260 1998.73082 X 1998-09-20 18:00:00 1998-09-23 18:00:00
1998.73082 1998.74737 X 1998-09-23 18:00:00 1998-09-29 18:57:36
