58    1998-01-28T16:00    28.667      H4C  1998-01-28T16:04:00  1998-01-29T13:12:00  1998-01-31T00:00:00                 None
59    1998-02-02T10:27    33.435      H4C                 None  1998-02-02T10:27:00  1998-02-04T02:22:00                 None
60    1998-02-04T00:00    35.000      H4C                 None  1998-02-04T04:48:00  1998-02-06T08:04:00                 None
61    1998-02-17T04:00    48.269      H4C  1998-02-17T06:28:00  1998-02-17T10:48:00  1998-02-18T14:22:00                 None
62    1998-02-18T07:50    49.326      H4C  1998-02-18T14:52:00  1998-02-18T21:35:00  1998-02-20T00:44:00                 None
63    1998-03-04T11:02    63.460      H4C  1998-03-04T11:02:00  1998-03-04T10:48:00  1998-03-06T07:10:00                 None
64    1998-03-06T22:17    65.928      H4C                 None  1998-03-06T11:59:00  1998-03-07T16:48:00                 None
65    1998-03-25T10:48    84.450      H4C  1998-03-25T10:48:00  1998-03-25T14:23:00  1998-03-26T08:57:00                 None
66    1998-03-30T22:00    89.917      H4C  1998-03-31T07:11:00  1998-03-31T11:59:00  1998-04-01T16:18:00                 None
67    1998-04-01T21:07    91.880      H4C  1998-04-01T21:07:00  1998-04-01T21:07:00  1998-04-02T19:55:00                 None
69    1998-05-01T21:21   121.889      H4C  1998-05-01T21:21:00  1998-05-02T11:31:00  1998-05-03T16:47:00                 None
71    1998-05-04T02:21   124.098      H4C  1998-05-04T02:30:00  1998-05-04T09:50:00  1998-05-05T03:12:00                 None
72    1998-06-02T08:00   153.333      H4C  1998-06-02T10:28:00  1998-06-02T10:28:00  1998-06-02T19:16:00                 None
74    1998-06-24T10:00   175.417      H4C  1998-06-24T10:47:00  1998-06-24T13:26:00  1998-06-25T22:33:00                 None
79    1998-07-10T23:00   191.958      H4C                 None  1998-07-10T22:36:00  1998-07-12T21:34:00                 None
83    1998-08-10T00:31   222.021      H4C  1998-08-10T00:31:00  1998-08-10T04:47:00  1998-08-10T23:30:00                 None
85    1998-08-19T18:40   231.778      H4C  1998-08-19T18:40:00  1998-08-20T08:38:00  1998-08-21T20:09:00                 None
86    1998-08-26T06:51   238.285      H4C  1998-08-26T06:40:00  1998-08-26T21:07:00  1998-08-28T00:28:00                 None
87    1998-09-23T01:12   266.050      H4C  1998-09-23T01:12:00  1998-09-23T04:19:00  1998-09-23T17:31:00                 None
88    1998-09-24T23:18   267.970      H4C  1998-09-24T23:18:00  1998-09-25T04:33:00  1998-09-26T17:00:00                 None
89    1998-10-02T07:10   275.299      H4C                 None  1998-10-02T07:10:00  1998-10-02T22:47:00                 None
90    1998-10-18T19:30   291.812      H4C  1998-10-18T19:30:00  1998-10-19T04:19:00  1998-10-20T07:11:00                 None
91    1998-10-23T12:57   296.540      H4C  1998-10-23T12:57:00  1998-10-23T19:55:00  1998-10-24T19:26:00                 None
93    1998-11-08T04:50   312.202      H4C                 None  1998-11-08T04:41:00  1998-11-08T23:30:00                 None
94    1998-11-08T04:51   312.202      H4C                 None  1998-11-09T00:44:00  1998-11-10T03:47:00                 None
100    1999-01-22T19:50    22.851      H4C                 None  1999-01-22T20:21:00  1999-01-23T14:58:00                 None
101    1999-02-11T17:41    42.737      H4C                 None  1999-02-11T17:41:00  1999-02-12T03:35:00                 None
105    1999-02-18T02:46    49.115      H4C  1999-02-18T02:48:00  1999-02-18T09:14:00  1999-02-19T00:00:00                 None
109    1999-04-16T11:25   106.476      H4C  1999-04-16T11:14:00  1999-04-16T19:11:00  1999-04-17T19:48:00                 None
112    1999-05-28T21:50   148.910      H4C  1999-05-28T21:50:00  1999-05-28T21:50:00  1999-05-30T10:47:00                 None
114    1999-06-26T20:16   177.844      H4C                 None  1999-06-26T02:31:00  1999-06-27T04:47:00                 None
115    1999-07-02T00:27   183.018      H4C  1999-07-02T00:27:00  1999-07-03T08:09:00  1999-07-05T13:13:00                 None
117    1999-07-06T15:09   187.599      H4C  1999-07-06T14:23:00  1999-07-06T19:12:00  1999-07-07T16:46:00                 None
120    1999-07-30T19:12   211.801      H4C  1999-07-30T19:12:00  1999-07-31T02:02:00  1999-08-01T00:00:00                 None
123    1999-08-06T01:55   218.080      H4C  1999-08-06T01:55:00  1999-08-06T14:23:00  1999-08-07T06:18:00                 None
124    1999-08-08T17:44   220.740      H4C                 None  1999-08-09T10:12:00  1999-08-10T16:04:00                 None
127    1999-09-15T07:43   258.322      H4C  1999-09-15T07:43:00  1999-09-15T07:43:00  1999-09-15T17:44:00                 None
128    1999-09-21T12:00   264.500      H4C                 None  1999-09-21T18:57:00  1999-09-22T11:31:00                 None
129    1999-09-22T12:22   265.515      H4C  1999-09-22T12:09:00  1999-09-22T17:59:00  1999-09-23T09:35:00                 None
130    1999-10-21T02:25   294.101      H4C                 None  1999-10-21T02:19:00  1999-10-22T06:32:00                 None
136    1999-12-12T15:51   346.660      H4C  1999-12-12T15:50:00  1999-12-12T17:31:00  1999-12-13T18:28:00                 None
142    2000-02-11T23:31    42.980      H4C  2000-02-11T23:34:00  2000-02-12T12:20:00  2000-02-13T00:35:00                 None
143    2000-02-14T07:31    45.299      H4C  2000-02-14T07:11:00  2000-02-14T13:11:00  2000-02-15T15:33:00                 None
144    2000-02-20T21:03    51.877      H4C  2000-02-20T21:03:00  2000-02-21T14:24:00  2000-02-22T13:16:00                 None
145    2000-03-01T01:58    61.082      H4C  2000-03-01T01:58:00  2000-03-01T03:21:00  2000-03-02T03:07:00                 None
150    2000-03-28T02:52    88.119      H4C  2000-03-28T02:52:00  2000-03-28T02:52:00  2000-03-29T22:47:00                 None
158    2000-05-07T03:53   128.162      H4C                 None  2000-05-07T03:53:00  2000-05-08T11:59:00                 None
165    2000-06-08T09:07   160.380      H4C  2000-06-08T09:07:00  2000-06-08T16:47:00  2000-06-10T01:18:00                 None
169    2000-06-23T13:03   175.544      H4C  2000-06-23T12:57:00  2000-06-24T09:00:00  2000-06-25T23:58:00                 None
171    2000-07-01T01:00   183.042      H4C                 None  2000-07-01T07:12:00  2000-07-02T03:34:00                 None
173    2000-07-11T12:09   193.507      H4C                 None  2000-07-11T22:35:00  2000-07-13T04:33:00                 None
175    2000-07-13T09:42   195.404      H4C  2000-07-13T09:59:00  2000-07-13T15:35:00  2000-07-14T15:35:00                 None
177    2000-07-15T02:23   197.099      H4C  2000-07-15T02:23:00  2000-07-15T06:47:00  2000-07-15T14:18:00                 None
178    2000-07-15T14:37   197.609      H4C  2000-07-15T14:23:00  2000-07-15T17:31:00  2000-07-16T13:28:00                 None
179    2000-07-19T15:27   201.644      H4C                 None  2000-07-19T15:30:00  2000-07-21T05:31:00                 None
182    2000-07-28T06:34   210.274      H4C  2000-07-28T06:38:00  2000-07-28T14:24:00  2000-07-29T10:06:00                 None
183    2000-07-31T23:28   213.978      H4C                 None  2000-07-31T23:28:00  2000-08-01T13:11:00                 None
184    2000-08-10T05:01   223.209      H4C  2000-08-10T05:13:00  2000-08-10T20:52:00  2000-08-11T18:43:00                 None
185    2000-08-11T18:43   224.780      H4C  2000-08-11T18:49:00  2000-08-12T06:05:00  2000-08-13T05:05:00                 None
186    2000-09-02T23:29   246.978      H4C                 None  2000-09-02T23:28:30  2000-09-03T22:32:00                 None
187    2000-09-04T13:13   248.551      H4C                 None  2000-09-04T13:13:00  2000-09-06T16:47:00                 None
189    2000-09-06T17:02   250.710      H4C  2000-09-06T17:02:00  2000-09-07T03:24:00  2000-09-08T14:22:00                 None
191    2000-09-17T16:04   261.700      H4C  2000-09-17T16:04:00  2000-09-18T01:53:00  2000-09-19T12:00:00                 None
