  7 1995-04-03T12:45      Wind Wind      -4.66       3.33       5.96       8.46     326.12   58915.61       4.96       0.56      -6.77       3.31       1.89       8.88     294.67   28985.00       3.37       0.29
  7 1995-04-03T12:45 LLAMAICEA Wind      -4.66       3.33       5.96       8.46     326.12   58915.61       4.96       0.56      -6.83       3.34       1.83       8.92     294.19   25721.30       3.33       0.27
  7 1995-04-03T12:45 LLAMAICEC Wind       None       None       None       None       None       None       None       None      -6.40       3.33       2.65       8.83     300.53   32373.44       3.66       0.33
  8 1995-04-05T17:59   Lepping Wind       None       None       None       None       None       None       None       None       5.52       1.49       3.51       8.25     332.78   22339.67      14.69       1.36
  8 1995-04-05T17:59      Wind Wind       2.38       5.16      -1.46       7.08     350.89   41802.14      12.94       2.36       4.08       2.75      -0.58       7.28     332.13   20531.28      11.38       1.34
  8 1995-04-05T17:59 LLAMAICEA Wind       2.38       5.16      -1.46       7.08     350.89   41802.14      12.94       2.36       4.08       2.75      -0.58       7.28     332.13   20531.28      11.38       1.34
  8 1995-04-05T17:59 LLAMAICEC Wind       None       None       None       None       None       None       None       None       3.54       3.51      -0.86       7.22     338.05   27240.18      11.87       1.66
  9 1995-05-13T10:19    DREAMS Wind       None       None       None       None       None       None       None       None       3.39       1.89      10.24      11.11     329.49   23323.30      10.13       0.73
  9 1995-05-13T10:19      Jian Wind       None       None       None       None       None       None       None       None       3.09       2.77       2.24       7.18     330.18   23500.15      25.58       6.27
  9 1995-05-13T10:19   Lepping Wind       None       None       None       None       None       None       None       None       2.61       1.60       8.85       9.63     328.01   24221.63      15.09       4.12
  9 1995-05-13T10:19      Wind Wind       None       None       None       None       None       None       None       None       3.27       1.93      10.02      10.92     329.54   24298.05      11.09       1.02
  9 1995-05-13T10:19 LLAMAICEA Wind       None       None       None       None       None       None       None       None       3.38       1.94      10.19      11.10     329.73   24086.53      10.45       0.79
 10 1995-06-30T09:21    DREAMS Wind       None       None       None       None       None       None       None       None      -4.51      -4.75      -5.32       9.61     460.00   39829.68       6.57       0.59
 10 1995-06-30T09:21      Jian Wind       None       None       None       None       None       None       None       None       0.26      -6.10      -0.14       8.65     396.45   33928.97       8.99       0.92
 10 1995-06-30T09:21      Wind Wind      -0.61      -1.59      -3.38       5.58     483.46   64046.94      14.45       5.81      -0.44      -5.40      -0.06       8.55     397.67   34582.80       9.79       1.03
 10 1995-06-30T09:21 LLAMAICEA Wind      -3.18      -1.34      -5.13       7.48     485.00   57973.32      10.05       2.81      -4.23      -7.66      -4.56      10.33     439.61   28536.77       6.11       0.43
 10 1995-06-30T09:21 LLAMAICEB Wind      -3.18      -1.34      -5.13       7.48     485.00   57973.32      10.05       2.81      -0.14      -6.71      -1.29      10.18     427.63   31694.09       8.35       0.59
 10 1995-06-30T09:21 LLAMAICEC Wind      -0.61      -1.59      -3.38       5.58     483.46   64046.94      14.45       5.81      -4.55      -4.85      -5.33       9.67     459.69   39426.85       6.49       0.55
 10 1995-06-30T09:21 LLAMAICED Wind      -0.61      -1.59      -3.38       5.58     483.46   64046.94      14.45       5.81      -1.69      -4.93      -2.91       9.74     446.38   38767.21       7.91       0.63
 11 1995-07-01T17:49    DREAMS Wind       None       None       None       None       None       None       None       None       2.32      -6.04       1.47       7.27     352.01   19236.04       9.16       1.10
 11 1995-07-01T17:49      Wind Wind      -0.61      -1.59      -3.38       5.58     483.46   64046.94      14.45       5.81      -0.44      -5.40      -0.06       8.55     397.67   34582.80       9.79       1.03
 11 1995-07-01T17:49 LLAMAICEA Wind       None       None       None       None       None       None       None       None       1.31      -6.03       1.42       7.26     354.95   25924.19       9.09       1.14
 11 1995-07-01T17:49 LLAMAICEB Wind       None       None       None       None       None       None       None       None       0.49      -5.72       2.32       7.44     353.24   26884.72      10.96       1.33
 12 1995-08-22T12:56    DREAMS Wind       0.79      -0.92      -4.44       6.58     366.91   63280.07      12.15       2.58      -3.00      -6.26      -4.50       9.65     359.12   29994.80      12.22       0.97
 12 1995-08-22T12:56      Jian Wind       0.03      -1.88      -3.08       5.79     364.34   74392.85      11.41       3.05      -2.43      -5.15      -4.34       9.20     359.39   32372.40      12.93       1.29
 12 1995-08-22T12:56   Lepping Wind       None       None       None       None       None       None       None       None      -2.81      -5.87      -4.57       9.58     359.42   30599.30      12.32       1.01
 12 1995-08-22T12:56      Wind Wind       0.79      -0.92      -4.44       6.58     366.91   63280.07      12.15       2.58      -2.97      -6.31      -4.58       9.69     359.36   29950.09      12.17       0.95
 12 1995-08-22T12:56 LLAMAICEA Wind       0.79      -0.92      -4.44       6.58     366.91   63280.07      12.15       2.58      -2.97      -6.31      -4.58       9.69     359.36   29950.09      12.17       0.95
 12 1995-08-22T12:56 LLAMAICEC Wind       0.03      -1.88      -3.08       5.79     364.34   74392.85      11.41       3.05      -2.29      -5.36      -4.95       9.52     361.03   30985.78      12.39       1.02
 13 1995-09-15T18:17    DREAMS Wind       None       None       None       None       None       None       None       None      -2.83       7.99       6.75      11.18     425.78   26535.65      10.95       0.57
 13 1995-09-15T18:17 LLAMAICEA Wind       None       None       None       None       None       None       None       None      -2.83       7.99       6.75      11.18     425.78   26535.65      10.95       0.57
 14 1995-09-27T14:00    DREAMS Wind       None       None       None       None       None       None       None       None       0.55       6.57     -10.24      13.45     404.28   37741.83      14.94       0.58
 14 1995-09-27T14:00      Wind Wind      -1.44       3.18       0.53       5.30     362.45   78798.39       8.19       3.25      -1.64       3.96      -6.34       9.69     375.03   46923.44      12.75       1.28
 14 1995-09-27T14:00 LLAMAICEA Wind      -0.95       1.14      -6.01       7.73     357.73   46309.50      15.25       2.09       0.55       6.57     -10.24      13.45     404.28   37741.83      14.94       0.58
 14 1995-09-27T14:00 LLAMAICEC Wind       None       None       None       None       None       None       None       None      -0.06       4.42      -8.54      11.18     385.86   41091.90      15.06       1.19
 15 1995-10-18T10:40    DREAMS Wind       2.25      -2.08      -0.88       8.84     402.97   80062.58      42.18       6.64       5.99     -10.84      -3.70      21.13     406.11   44281.51      12.70       0.18
 15 1995-10-18T10:40      Jian Wind       None       None       None       None       None       None       None       None       6.05     -10.37      -1.90      21.14     406.88   48815.21      12.95       0.20
 15 1995-10-18T10:40   Lepping Wind       None       None       None       None       None       None       None       None       6.19     -10.59      -1.35      21.14     406.80   50314.05      13.20       0.20
 15 1995-10-18T10:40      Wind Wind       2.19      -1.99      -1.26       9.00     402.30   78407.07      41.16       7.89       5.89      -9.77      -1.64      21.11     407.57   52432.68      13.07       0.21
 15 1995-10-18T10:40 LLAMAICEA Wind       2.19      -1.99      -1.26       9.00     402.30   78407.07      41.16       7.89       5.81     -10.89      -8.95      20.50     406.79   48548.33       6.58       0.11
